,APPID,Name,Current,24h,Total
+,745,Counter-Strike: Global Offensive - SDK,124,229,475
+,753,Steam,"9,802,549","14,510,773","18,537,490"
+,1200,Red Orchestra: Ostfront 41-45,9,37,126
+,1250,Killing Floor,308,521,"24,107"
+,1260,Killing Floor SDK,3,4,8
+,1280,Darkest Hour: Europe '44-'45,3,58,"1,083"
+,1300,SiN Episodes: Emergence,2,4,105
+,1500,Darwinia,3,5,108
+,1510,Uplink,8,14,538
+,1520,DEFCON,12,22,"3,474"
+,1522,DEFCON Demo,2,4,28
+,1530,Multiwinia,4,5,102
+,1600,Dangerous Waters,3,6,24
+,1610,Space Empires IV Deluxe,9,13,69
+,1630,Disciples II: Rise of the Elves,14,45,86
+,1640,Disciples II: Gallean's Return,18,34,141
+,1690,Space Empires V,17,20,137
+,1700,Arx Fatalis,4,7,93
+,1840,Source Filmmaker,"1,150","1,258","3,975"
